asin,title,brand,price,average_rating,rating_count,features,description,popularity_rank,category,price_tier,popularity_tier,store,categories
B09J1L83FC,"Xiaomi Mi Smart Watch Lite Ivory - 1.4 Inch Touch Screen, 5ATM Water Resistant, 9 Days Battery Life, GPS, 11 Sports Mode, Steps, Sleep and Heart Rate Monitor, Fitness Activity Tracker [Official UK]",Xiaomi,59.99,4.3,12147,"1.4 inch TFT LCD touch colour display with a resolution of 320 x 320 pixels, PPI323 | Up to 9 days of battery life (230 mAh) | Built-in GPS, GLON | 11 pre-defined sports modes | Real-time notifications on the display and with vibration: Calls, SMS, app notifications, activity goals","1000+ customized combinations. New look whenever you want. Mi Watch Lite is not just a smart watch, it has its own unique personality. There are three color options for the watch case, five color options for the strap,. over 120 themed watch faces and watch face function customization to satisfy your ever-changing style. 1.4\"" TFT color touch display. Supports automatic brightness adjustment. Everything you need to know on one screen. Handles both indoor and outdoor exercise. Your own personal t",21,smartwatches,midrange,niche,,
B0BXDDQPFX,"Smart Watch for Men Women, 2022 Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch 24 Sports IP68 Waterproof, Heart Rate/Sleep Monitor/Pedometer/Calories, Activity Tracker for Android iPhone",MOLOCY,32.99,3.7,11787,"Multifunction Smart Watch: This smartwatch includes more practical functions, Fitness Tracker (Pedometer, Calories, Distance), Blood Pressure Monitor, Heart Rate Monitor, Sleep Monitor, 24 Sports Modes, IP68 Waterproof, Blood Oxygen Monitor, Call Notifications, SMS and APP Messages (WhatsAPP, Facebook, Messenger, Instagram...), Music & Camera Control, 4 levels of Brightness Adjustment, Weather Display, Sedentary Reminder, GPS tracking, Gmail, Stopwatch, Alarm Clock, Find Phone, Find watch. | 1.69"" Full Touch Screen and Multiple Watch Faces: Our fitness watch have a 1.69 inch TFT-LCD touch screen, make it easy to operate and easily check detailed data reports. Your message notifications can also be displayed straight to your device screen. Four levels of brightness options allow you to easily read information in the sun or dark. There are multiple watch faces to choose from, also you can choose a picture you like to customize the watch face in GloryFit App to show your personality. | 24/7 Heart Rate Monitor and Sleep Tracker: 24/7 heart rate monitoring allows to check your heart rate anytime, and better understand your heart rate trends. High-performance motion sensors monitor sleep status (deep sleep, light sleep and wake up time), and provide comprehensive sleep quality analysis. Also blood Pressure smart watches intelligently measures SpO2, monitors blood oxygen and blood pressure levels, and monitors changes in your body to help you develop a healthier lifestyle. | 24 Sports Modes and Activity Tracker: Our sport watch supports 24 sports modes(walking, running, cycling, swimming, yoga, basketball, etc). Fitness tracker watch accurately records all-day activities such as steps, distance walked, calories burned and active minutes, motivating you to reach your exercise goal with real-time statistics on the fitness smartwatch. Connecting the GPS in your cellphone can track all your workout routes and physical status during exercise. Stay motivated all day! | IP68 Swimming Waterproof and Wider Compatibility: Exercise watch is designed with IP68 waterproof rating, you can wear it when washing hands, running in the rain, or even go to swimming with it. Our womens watches is compatible with iOS 9.0/Android 5.0 or above smartphones. Large capacity and low power consumption design offers longer endurance. It support 7 days of normal use and 30 days standby time. The watch for men is lightweight and very soft, being very comfortable for wearing.",,22,smartwatches,budget,niche,,
B07CRSK5DM,"Amazfit Bip Fitness Smartwatch, All-Day Heart Rate and Activity Tracking, Sleep Monitoring, Built-In GPS, 45-Day Battery Life, Bluetooth, Onyx Black",Amazfit,69.99,4.0,10720,"45 Days Battery Life: Equipped with a lithium polymer battery with a 190mAh charge, you can use the Amazfit Bip up to 30 days on a single 2.5-hour charge | Lightweight and Thin: Amazfit Bip only weight about 32g with the watch band and is 11.5mm in thick. The Bip can be worn all day | Health Tracking: Optical heart rate monitoring and built-in GPS allow you to accurately track in real-time your steps taken, distance traveled, calories burned, and quality of sleep | Multisport Tracking: Outdoor running, Indoor running, Outdoor cycling, Walking | Receive Messages, Call & APP Notifications: Receive notifications for incoming phone calls, SMS messages, emails, and other apps such as Facebook, Twitter, WhatsApp, LinkedIn, and other mobile apps right on the color touch display of your Amazfit Bip","Amazfit Bip smartwatch is the perfect daily companion to keep you informed and active. Daily step, calorie and distance tracking are a given and motivate you to get up more often. The reflective always-on display is easily readable in bright sunlight or indoors and shows all of your phone's app notifications like calendar alerts, text messages (you can read the full text), emails, Facebook, Twitter, WhatsApp, WeChat, LinkedIn, snap, slack, you name it. Currently Bip supports outdoor running, tre",23,smartwatches,midrange,niche,,
B0B62TGBQW,CanMixs Smart Watch for Android Phones iOS Waterproof Smart Watches for Women Men(Answer/Make Call) Sports Digital Watch Fitness Tracker Heart Rate Blood Oxygen Sleep Monitor Compatible Samsung iPhone,CanMixs,43.19,4.0,10663,"【Bluetooth Call Receiving/Dialing】Smart watches for women and men with bluetooth call, you can receive or dial calls anytime and anywhere directly on your watch after establishing Bluetooth connection. You can also add favorite contacts and check call records. Smart watch has a handsome design, with its square display and full touch 1.85 inch colorful screen, which has 240*286 pixels resolution make the screen clear and bright. You can even set your own photo as the face skins freely. | 【Accurate Activity Tracker Watch & multi Sport Modes】Fitness watch accurate track steps,calories,heart rate,sleep stages,Blood Pressure,oxygen;smart watch supports multi sports modes:walking,running,bicycle,swimming ,badminton,basketball,football,rope skipping to give you more detailed insights into your whole day activities;It can connect to smartphone GPS for modes like Run for more precise real-time pace & distance. IP68 waterproof,you can wear it when swimming and record various data. | 【Protect & monitor your health】Bluetooth Smart watch for men women can monitor your heart rate all day automatically, and measure Blood Pressure & Blood Oxygen which three body's most critical indicator of health.You can read them real-time directly on the smart watch, which can help you better understand your health and make reasonable adjustment on your life-style.Fitness watch also monitor sleep and provides comprehensive analysis of your sleep. (Deep sleep, light sleep and awake time). | 【Smart Reminder for Call and Information】By connecting men women smart watches with smartphone,your information can be displayed on the smartwatches synchronously, such as incoming call, SMS, Facebook,WhatsApp,Twitter, LinkedIn, Instagram,Line,SKype,Gmail,etc,you will never miss important news.More practical features like sedentary reminder, pedometer,remote camera control, music controller, check the weather, find smart watches,brightness adjustment,vibration alarm clock,etc. | 【Super Long Battery Life & Broad Compatibility】ios android smart watch for women men is equipped with a 270 mAh large capacity battery and can be used 7-10 days If fully charge! (Note: depends on individual usage). Wear os smartwatch can support most android and ios phones. Compatible with Iphone 14/14 pro 13/13 pro 12/12 pro max iPhone 11/11 pro/X/8/8 plus/7/7 plus/6/6 plus/6s/6s, Samsung Galaxy, HUAWEI, Xiaomi, ZTE etc. smart phones(Support IOS 9.0 and later, Android 5.0 and above).",,24,smartwatches,midrange,niche,,
B0BJZNZQY7,Fitpolo Smart Watch for Android and iOS Phones IP68 Swimming Waterproof Smartwatch Fitness Tracker Fitness Watch Heart Rate Monitor for Men Women (Gray),Fitpolo,39.99,4.1,10513,"⌚【2023 Upgraded Smart Watch】 Equipped with 1.33 inches TFT-LCD full touch screen, make a great breakthrough in button touch fitness watch and advanced health smartwatch that helps you tune in to your body with tools for sleep tracking, sport record, menstrual health tracking, relax guidance, alarm, timer and so on. | ⌚【Smart watch for Android Phones Samsung iPhone】- Compatible with most iOS 8.0 & Android 4.4 above smartphones. Download and install Free ""VeryFitPro"" APP, bind this smartwatch in your cell phone, you can receive alerts of calendar, SMS, incoming calls and SNS (Facebook, Twitter, Whatsapp, Skype, Snapchat and more) on this watch; It will never let you miss any important events. | ⌚【24/7 Heart Rate Monitor & Sleep Tracker】Automatically monitor your real-time heart rate and your sleep (Deep sleep, Light sleep and Awake time)to tell you how long and how well you sleep during the night, helping you to adjust yourself to live a better lifestyle. | ⌚【IP68 Waterproof Fitness Watch & Long-lasting Battery】- Fitpolo Smart Watches are designed with IP68 waterproof rating, which allows you to swim in the pool with it with no worries. Large capacity and low power consumption design offers longer endurance. It supports 7 days of normal use and 35 days standby time. | ✔【More Practical Gadgets & 9 Exercise Modes】- Fitpolo smart watch has features with many practical tools, such as customized watch faces, alarm clocks, stopwatch, timer,music controller, sedentary reminder, adjustable brightness, find phone. The APP's name is VeryFitPro, which works with Android 4.4 or iOS 8.0 and above, Bluetooth 5.0 and above smartphones only, NOT FOR PC or TABLET.",,25,smartwatches,budget,niche,,
B0095PZHPE,"Fitbit One Wireless Activity Plus Sleep Tracker, Black",Fitbit,59.95,4.2,9960,"One syncs automatically and wirelessly to tablets, computers and 150 plus leading iOS, Android and Windows smartphones using Bluetooth 4.0 wireless technology. Syncing to computers requires Internet connection and USB port. Syncing to mobile devices requires Bluetooth and Internet connection. Syncing range: 20 feet. Call notifications via Bluetooth 4.0 | Water Resistance: Charge has been tested up to 1 ATM meaning it is sweat, rain and splash proof. However, the device is not swim proof. We also recommend taking Charge off before showering because, as with any wearable device, it’s best for your skin if the band stays dry and clean. | Warning: Do not use if you have a pacemaker or other internal, or implanted medical device. Not intended for use by children under 13. Always consult your physician. Slippery when wet | We recommend charging your device every few days to ensure you are always tracking. Charge time: One to two hours. Battery life: up to 7 - 10 days. Battery type: Lithium-polymer | Syncs with Windows Vista and later, Mac OS X 10.6 and up, iPhone 4S and later, iPad 3 gen. and later, and leading Android and Windows devices","Product Description Fitness means being active, sleeping well, and eating smarter – and the Fitbit One helps you do all three. During the day, it tracks your steps, distance, calories burned, and stairs climbed. Come nightfall, it measures your sleep cycle to help you see how to sleep better; and it can even wake you in the morning without waking your partner. Your stats upload wirelessly via computer or select mobile devices (like the iPhone 4S). Powered by your stats, you can set goals, and tr",26,smartwatches,midrange,long_tail,,
B08CHG524M,"SoundPEATS Smart Watch Fitness Tracker with All Day Heart Rate Monitor Sleep Quality Tracker IP68 Waterproof 1.4"" Large Touch Screen Call & Message Reminder 12 Sports Modes for iPhone Android Phones",SoundPEATS,22.99,4.0,9106,"【Accurate Fitness Tracker Watch】SoundPEATS fitness watch accurately records your steps, distance walked, calories burned and heart rate at your wrist all day, motivating you to reach your exercise goal with real-time statistics on the watch. It also supports extra 12 sports modes to help you track your other exercise patterns and connects to your smartphone's GPS to draw the route map in the SOUNDPEATS SPORTS app. | 【Smart Watch for iPhone Android Phones】This smartwatch is compatible with Android 4.4 & ios 8.0 and above smartphones. You can get incoming calls, text messages, and social media notifications, such as Facebook, WhatsApp, Twitter, Instagram, and more on your wrist. You can also read them diredctly on the watch, staying connected with the world. | 【Sleep Quality Tracker& More Practical Tools】This fitness watch automatically records your sleep activity, recording your deep sleep, light sleep and awake duration. You can get a comprehensive sleep quality analysis and healthy insights in SOUNDPEATS SPORTS app. It can also wake you up with silent vibrating alarms. This multi-functional watch also has many practical tools, like weather/ music controller/ breath training/ stopwatch/ countdown/ alarm clocks/ find your phone/ sedentary reminder. | 【Swimming Waterproof& 10+ Days Battery】Don't bother yourself to take off the fitness watch frequently as this sports watch is rated IP68 waterproof and has super long battery life. You can feel free to sweat it out during exercise, shower, wash hands, play in the rain or swim with it. With the built-in 260mAh battery, this digital watch can work up to 10 days with one single full charge of 2 hours. | 【Touch Screen & Comfortable Wearing】This smartwatch is equipped with a 1.4-inch color touch screen and 5 watch faces to choose from, making it easy to operate and read the data. The adjustable wristband of this light-weight watch fits a wrist between 6.1 to 9.3 inches (perimeter), suitable for men, women, and teens. Perfect for Thanksgiving, Christmas and Birthday gifts.",,27,smartwatches,budget,long_tail,,
B094Y495LQ,"Realme Watch 2 pro Smart Watch 1.75"" Color Display Dual Satellite GPS 90 Sports Modes Global Version",realme,74.99,4.2,8219,"4.4cm (1.75"")Large Color Display :Check your health stats at a glance with realme Watch 2 Pro's extra-large 4.4cm (1.75"") touchscreen. The large screen size prevents mistouches, while high brightness and vivid display allows you to see clearly even in direct sunlight. | High-Precision Dual-Satellite GPS:Precise stats, at your fingertips,Get precise route info, step tracking, and activity monitoring with realme's high-precision dual-satellite GPS sensor.Stay connected with smart notifications,Just raise your wrist to see all your messages and notifications without looking at your phone. | 90 Sports Modes:The realme Watch 2 Pro can monitor up to 90 different fitness activities. Get precise metrics for your workout of choice, and track distance, calorie, and workout duration. | Realme Link Seamless integration:Use realme Link to sync your Watch 2 Pro with your phone and monitor workout history, change watch settings.tell your phone to play music, snap photos, and more. | IP68 Water Resistance Rating:The realme Watch 2 Pro is IP68 rated, so feel free to wash your hands or work up a sweat while wearing the watch.14-Day Long-lasting Battery Life,the long-lasting 390mAh battery on the Watch 2 Pro runs so efficiently that you can go continuously for 2 weeks without charging.","Appearance Color : Black Size : 255.2*38.9*12.65mm（with wrist strap） Weight : 40g（with wrist strap） Wrist strap Type : Removable wrist strap Width : 22mm Adjustable length : 150-215mm Battery Battery : 390mAh Battery life : 14 Days（with 24 hours continuous heart rate on) Screen Screen size : 4.4cm (1.75"") Resolution : 320*385 pixels Full screen touch Sensor 3-axis Accelerometer Heart Rate Sensor Connectivity Bluetooth 5.0 realme Link IP68 Water Resistance Rating Health Monitor Automated Heart Ra",28,smartwatches,midrange,long_tail,,
B08DCSNDRD,"UMIDIGI Smart Watch for Android Phones Compatible with Samsung iPhone, Sleep Tracker Waterproof Smartwatch with Heart Rate Monitor, Fitness Tracker for Women Men and Kid-Uwatch 2S",UMIDIGI,39.99,4.1,7928,"🍀【Lightweight & Personalized Watch Faces】 The Uwatch 2S smartwatch has a 1.3-inch square color touch display, which is characterized by its elegance, lightness, sturdiness and scratch resistance. After connecting with your phone, you can choose more than 100 watch faces to replace, or customize your own photos. | 🍀【Fitness Tracker for Women Men】Automatically monitor your heart rate, sleep status (deep sleep, shallow sleep, awakening), and provide a comprehensive sleep quality analysis. You can set 14 exercise modes, view specific data in the Da Fit app to help you develop a healthier lifestyle. | 🍀【Smart Watch for iPhone and Android Phones】Compatible with most iOS 8.0 & Android 4.4 or above smartphones, not for pc or tablet. Install the free and secure ""Da Fit"", bind this smartwatch in your cell phone. You can receive email, calendar, text and call, app notifications on this watch, let you never miss important information. | 🍀【Cost-effective & Multifunction watch】 Activity tracker (pedometer, calories, distance), menstrual cycle calculation for women, 14 sport modes, remote control of music and cameras, weather report, sedentary reminder, alarm clock, stopwatch, find phone, brightness adjustment, and other functions to meet your daily needs. | 🍀【Long Battery Life & Waterproof smartwatch】Breakthrough battery performance can up to 15-Day Battery Life after fully charged (2.5 hours). Uwatch 2S meet 5ATM waterproof standard, you can wear it when washing hands, in the rain and swimming (notice: Do Not use in water more than 100. 40℉, such as showers, saunas, etc). Just feel free to contact us via order ID if you need any support, we will always be here to serve you!",,29,smartwatches,budget,long_tail,,
B08PF66XV4,"IOWODO Smart Watch Fitness Tracker 1.69'' HD Touch Screen with Heart Rate Monitor & Sleep Tracking,Temperature Detecting IP68 Waterproof Smartwatch for Men Women Compatible with iPhone Android",IOWODO,35.99,4.1,6145,"💝【Intelligent Monitoring】24-hour automatic monitoring and recording of your body temperature/heart rate. The R3pro supports sleep monitoring, and you can also check local weather notifications for the next two days on your watch at any time. You can view track data records for each stat at any time in the GloryFit app. | 💝【100+ Custom Watch Faces】1.69-inch high-definition display, giving you a better visual experience. Comes with 4 preset watch face options. Also supports online download of 100 watch faces from ""GloryFit"". You can also customize your watch face to match your everyday wearing style by selecting a photo from your phone's gallery. | 💝【Smart Notifications】After the ""R3PRO"" Bluetooth smart watch is successfully paired with the ""GloryFit"" APP, you can receive vibration notifications for messages (such as text messages, incoming calls, Facebook, WhatsApp, Instagram, etc.). You can raise your wrist to view the specific content of the smart message or hang up at any time. | 💝【25 Sports Modes】Multi-function sports smart watch to meet your daily sports needs, with swimming mode and GPS sharing function. It can record detailed data on sports activities in real time, such as heart rate, steps, training time and calories burned. You can view a more detailed workout log in the GloryFit app. | 💝【Multifunctional Smart Watch】Only 2.5 hours of charging can support 12 to 15 days of normal use and 60 days of standby time. Find your phone, breathing exercises, sedentary reminders, music playback controls, stopwatch and more handy tools to choose from. The watch supports Android 6.0 and above and IOS 9.0 and above. We provide 24 months after-sales service at any time.",,30,smartwatches,budget,long_tail,,
